##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BT20 paired-end RNA-seq subsampled _end 1_
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419200
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
8	16	-0.2890989038761518
8	17	-0.3387307156515007
8	18	-0.2413253866845011
8	19	-0.29725983701604264
8	20	-0.18125640774951535
8	21	-0.1150042088080454
8	22	-0.15654597815358784
8	23	-0.5338366072712617
8	24	-0.335322451776932
8	25	-0.3780049688147571
8	26	0.021164909051123004
8	27	-0.19176887353565064
8	28	-0.004188297069475766
8	29	-0.22063496873749244
8	30	-0.10849154801640992
8	31	0.1541838238955009
8	32	0.2903723970074523
8	33	-0.06393069200055379
8	34	0.40157664827383854
8	35	0.047663192824380474
8	36	-0.2230769143457323
8	37	0.11983427435377791
8	38	-0.0381737710720742
8	39	-0.03633274848509416
8	40	-0.11200763239444456
8	41	-0.5464163849316535
8	42	-0.21704224811084316
8	43	-0.36212748214114754
8	44	-0.2194983523696763
8	45	-0.09811262161642276
8	46	-0.132965175723605
8	47	-0.30749098436570677
8	48	-0.08254556127927515
8	49	-0.09994307202250496
8	50	-0.4550749333305646
9	1	0.11777071142914508
9	2	0.11058824643072285
9	3	0.1028128773749728
9	4	0.07216959640084752
9	5	0.096167838986986
9	6	0.20531144142932334
9	7	-0.06656935668182484
9	8	-2.943891886459937E-4
9	9	-0.05265644574490125
9	10	-0.09194996587140025
9	11	-0.203024417730866
9	12	-0.053486152609281135
9	13	-0.02940665817886412
9	14	-0.09255172241406484
9	15	-0.2675532826321927
9	16	0.067026452249209
9	17	-0.09086746778825017
9	18	-0.10457324993236483
9	19	-0.19469573445194044
9	20	-0.09578632227943018
9	21	0.061633967830132974
9	22	-0.1650929867005928
9	23	-0.22044629388094705
9	24	-0.21851333496780967
9	25	-0.11304770385749663
9	26	-0.24094335305714054
9	27	-0.5592902410570204
9	28	-0.3147296076107793
9	29	-0.33459508269760363
9	30	-0.2879787275035923
9	31	-0.2418275721158949
9	32	-0.34780424116918596
9	33	-0.3459819740518384
9	34	-0.13403588733869753
9	35	-0.1403709952098069
9	36	-0.19173788300670225
9	37	-0.30181814729863987
9	38	-0.27464100753931575
9	39	-0.26710197925432766
9	40	-0.22596774635455574
9	41	-0.12191496043023164
9	42	-0.14866617973477503
9	43	-0.18833830835197318
9	44	-0.11978325265457812
9	45	-0.12375364725744475
9	46	-0.3409423837008134
9	47	-0.4527901296648551
9	48	-0.5440840228177422
